id,prompt,aspect,seed
1,"a gourmet pizza on a wooden table, restaurant food photography",landscape_4_3,741965028
2,"attendees at a graduation ceremony, event photography",portrait_4_3,1029140399
3,candid photo of a baby eating ice cream,landscape_4_3,1627228545
4,"portrait of a young couple in an urban street, natural light",landscape_4_3,1838344392
5,a boutique shop in amsterdam,landscape_4_3,1552928613
6,a dramatic lake shore at midday,landscape_4_3,388350845
7,"a poke bowl on a restaurant table, close up",landscape_4_3,951466346
8,"guests at a wedding reception, event photography",landscape_4_3,1768202373
9,a dramatic forest trail at golden hour,landscape_4_3,1664776150
10,"a modern interior photo, apartment",landscape_4_3,22788690
11,a woman taking a selfie at the gym,landscape_4_3,31417667
12,a misty forest trail at sunset,landscape_4_3,153875602
13,candid photo of children at a birthday party,landscape_4_3,1755420649
14,"group photo of friends at a wedding, natural poses",landscape_4_3,1339616213
15,"a classroom with students at desks, candid",landscape_4_3,118174719
16,"a quiet street scene in barcelona, cafes and awnings",landscape_4_3,1712180443
17,a scenic lake shore at sunrise,landscape_4_3,2133034529
18,"a rustic interior photo, bedroom",landscape_4_3,1041628573
19,a couple taking a mirror selfie at a concert,landscape_4_3,822453060
20,"pancakes with syrup on a marble counter, close up",landscape_4_3,1497835474
21,candid photo of a baby at a birthday party,landscape_4_3,878379851
22,"a busy street scene in tokyo, morning light",portrait_4_3,1126039057
23,"a rainy street scene in barcelona, daytime",landscape_4_3,755008993
24,"portrait of a smiling woman in a garden, candid look",portrait_4_3,313780458
25,"a poke bowl on a wooden table, restaurant food photography",portrait_4_3,1235727802
26,"guests at a graduation ceremony, event photography",portrait_4_3,1369380288
27,a misty mountain range at midday,portrait_4_3,1054709888
28,"portrait of a young couple in a studio with soft light, soft bokeh background",landscape_4_3,1060591857
29,"a salad bowl on a wooden table, close up",portrait_4_3,179891445
30,"a sunny street scene in lisbon, shop fronts",landscape_4_3,1887978532
31,"group photo of classmates on a hiking trip, natural poses",portrait_4_3,90983766
32,"group photo of classmates at a barbecue, candid moment",landscape_4_3,1143832673
33,a boutique shop in bali,portrait_4_3,580386895
34,candid photo of children with a puppy,portrait_4_3,2114880575
35,a spa in santorini,landscape_4_3,759145916
36,a hotel pool in austin,landscape_4_3,2096127373
37,"people at a street parade, event photography",landscape_4_3,1094543913
38,"pancakes with syrup on a cafe table, natural light",portrait_4_3,747818615
39,a teenager taking a group selfie at a concert,portrait_4_3,725337901
40,"portrait of a child in a rooftop, warm tones",landscape_4_3,536722125
41,a teenager taking a mirror selfie at a theme park,landscape_4_3,1487866419
42,"portrait of a teenage boy in a home living room, golden hour",landscape_4_3,1555891715
43,"a bright interior photo, hotel room",landscape_4_3,1573605958
44,a woman taking a group selfie at a concert,landscape_4_3,738103826
45,a dramatic lake shore at sunrise,portrait_4_3,127834693
46,"a bright interior photo, cafe",portrait_4_3,1491818024
47,"a hospital waiting room, realistic photography",portrait_4_3,1591324889
