model,prompt_id,prompt,width,height,url
flux_dev,5,a boutique shop in amsterdam,1024,768,https://v3b.fal.media/files/b/0aa63d8a/uYxncj-JCjIouS5nDULlF.jpg
flux_dev,14,"group photo of friends at a wedding, natural poses",1024,768,https://v3b.fal.media/files/b/0aa63d8a/3t5diRqdkXh_X_xrpKt5q.jpg
flux_dev,2,"attendees at a graduation ceremony, event photography",1024,768,https://v3b.fal.media/files/b/0aa63d8a/jMuz7V5IBL9-ZVxRRW-M1.jpg
flux_dev,11,a woman taking a selfie at the gym,1024,768,https://v3b.fal.media/files/b/0aa63d8a/cHQvBK4AMEFCIh00-VB0P.jpg
flux_dev,8,"guests at a wedding reception, event photography",1024,768,https://v3b.fal.media/files/b/0aa63d8a/q1AoL8K-lVzWYXHTRF7Y-.jpg
flux_dev,17,a scenic lake shore at sunrise,1024,768,https://v3b.fal.media/files/b/0aa63d8b/-Q7lgeSqzqmc5RZwtlUKY.jpg
flux_dev,20,"pancakes with syrup on a marble counter, close up",1024,768,https://v3b.fal.media/files/b/0aa63d8b/WJisQTAnbyZ0_NUtK4LaG.jpg
flux_dev,23,"a rainy street scene in barcelona, daytime",1024,768,https://v3b.fal.media/files/b/0aa63d8b/68d16wvtgGEQE44h89nhW.jpg
flux_dev,26,"guests at a graduation ceremony, event photography",1024,768,https://v3b.fal.media/files/b/0aa63d8b/weuOAJI6i1IVgZwXh_SEH.jpg
flux_dev,29,"a salad bowl on a wooden table, close up",1024,768,https://v3b.fal.media/files/b/0aa63d8b/_y3bG-jwX4hsnRowWsaEV.jpg
flux_dev,35,a spa in santorini,1024,768,https://v3b.fal.media/files/b/0aa63d8c/lfuXltJpJ7KY9I2swYuhS.jpg
flux_dev,38,"pancakes with syrup on a cafe table, natural light",1024,768,https://v3b.fal.media/files/b/0aa63d8c/c5UtDoOla9_VGWjPGczcJ.jpg
flux_dev,32,"group photo of classmates at a barbecue, candid moment",1024,768,https://v3b.fal.media/files/b/0aa63d8c/q13DoXDeIsU0CcBA1ECbG.jpg
flux_dev,41,a teenager taking a mirror selfie at a theme park,1024,768,https://v3b.fal.media/files/b/0aa63d9e/41D0cpYYLphgGCQ-IuwwW.jpg
flux_dev,44,a woman taking a group selfie at a concert,1024,768,https://v3b.fal.media/files/b/0aa63d8c/TSKh5CzErJcy7iaj-Fbn-.jpg
flux_dev,50,a spa in prague,1024,768,https://v3b.fal.media/files/b/0aa63d8c/MS-Ho-0t8q2fKpH7CqWZM.jpg
flux_dev,47,"a hospital waiting room, realistic photography",1024,768,https://v3b.fal.media/files/b/0aa63d8c/oEQ0G45g68YIsnbd_1n4Z.jpg
flux_dev,53,candid photo of a toddler at a birthday party,1024,768,https://v3b.fal.media/files/b/0aa63d8c/uFD7891xqwZWZs0Wd3hbW.jpg
flux_dev,56,candid photo of kids playing in a yard,1024,768,https://v3b.fal.media/files/b/0aa63d8c/M5gPHuva04lS7bryWVFUy.jpg
flux_dev,59,candid photo of a toddler with a puppy,1024,768,https://v3b.fal.media/files/b/0aa63d8c/m-E3FenTB3SLYTkUZ3lSm.jpg
flux_dev,62,a couple taking a mirror selfie at a theme park,1024,768,https://v3b.fal.media/files/b/0aa63d9f/6LHKFNTwt6gtDZiH-2QEb.jpg
flux_dev,68,a misty forest trail at midday,1024,768,https://v3b.fal.media/files/b/0aa63d9f/xVwyrl3dcdBQAchLkRpOa.jpg
flux_dev,65,"a bowl of ramen on a restaurant table, restaurant food photography",1024,768,https://v3b.fal.media/files/b/0aa63d8d/lA4CXOUUSxjKFjs_7CsLH.jpg
flux_dev,71,"a cozy interior photo, living room",1024,768,https://v3b.fal.media/files/b/0aa63d9f/ktme5hf0RJ70vQycwCBqH.jpg
flux_dev,74,"portrait of a smiling woman in a park, golden hour",1024,768,https://v3b.fal.media/files/b/0aa63d8d/k9ekGBHjvmSJN9q8Pv6dU.jpg
flux_dev,80,a hotel pool in amsterdam,1024,768,https://v3b.fal.media/files/b/0aa63da0/ebUDjKNBpWDM0TMTws0du.jpg
flux_dev,77,candid photo of kids with a puppy,1024,768,https://v3b.fal.media/files/b/0aa63d8d/fjYp5Xq1Yd20UXwzPkBf-.jpg
flux_dev,83,"guests at a street parade, event photography",1024,768,https://v3b.fal.media/files/b/0aa63d8d/e_58JXblKUSRae5bHj6ih.jpg
flux_dev,86,"a busy street scene in a mexican town, evening lights",1024,768,https://v3b.fal.media/files/b/0aa63d8d/m3xwqm4x-rChI0j6mWUjF.jpg
flux_dev,89,"a busy street scene in a mexican town, candid pedestrians",1024,768,https://v3b.fal.media/files/b/0aa63d8e/eiM-cB8qZ7co8B5m9B5C6.jpg
flux_dev,92,"group photo of a sports team in front of a landmark, daylight",1024,768,https://v3b.fal.media/files/b/0aa63d8e/LUdO-4MwuFVqZFrlPJx7R.jpg
flux_dev,95,"portrait of a man with a beard in a sunlit cafe, looking at camera",1024,768,https://v3b.fal.media/files/b/0aa63d8e/HLB9r2N1d5yWuV1EWjFZy.jpg
flux_dev,98,a brewery taproom in bali,1024,768,https://v3b.fal.media/files/b/0aa63d8e/jHfk9uw86CkL_Z-X7e8Cm.jpg
flux_dev,104,candid photo of a toddler running on a beach,1024,768,https://v3b.fal.media/files/b/0aa63d8e/1T-jCkbG0XYRayEcdGLDP.jpg
flux_dev,101,"a rainy street scene in paris, daytime",1024,768,https://v3b.fal.media/files/b/0aa63d8e/r-VcYEFydyD9nGEsuma1l.jpg
flux_dev,107,"guests at a sports game, event photography",1024,768,https://v3b.fal.media/files/b/0aa63d8e/9ROlhUG9Ut_WEZvU2ynRv.jpg
flux_dev,110,a misty lake shore at sunrise,1024,768,https://v3b.fal.media/files/b/0aa63d8f/Sj5sjkTl9K0gsCVwuYJ7o.jpg
flux_dev,113,"a busy street scene in a european old town, candid pedestrians",1024,768,https://v3b.fal.media/files/b/0aa63d8f/4QOy7-zQ1ZqyH07kEP56V.jpg
flux_dev,116,"portrait of a man with a beard in an office, casual clothing",1024,768,https://v3b.fal.media/files/b/0aa63d8f/gjl-a9R0VEmm9mvAxMJbo.jpg
flux_dev,119,a couple taking a mirror selfie at a city street at night,1024,768,https://v3b.fal.media/files/b/0aa63d8f/lU9LIlk9BrY-KpQ8Ustea.jpg
flux_dev,122,a resort lobby in santorini,1024,768,https://v3b.fal.media/files/b/0aa63d8f/huE-HdxPyfZwEtfrV36Qf.jpg
flux_dev,125,a man taking a group selfie at a concert,1024,768,https://v3b.fal.media/files/b/0aa63da2/PGPGXdMxelMLkSFruJodo.jpg
flux_dev,128,"portrait of a woman in her 30s in an office, window light",1024,768,https://v3b.fal.media/files/b/0aa63d8f/Ye8A7iyarylLwDB-0YpH5.jpg
flux_dev,131,a couple taking a selfie at a festival,1024,768,https://v3b.fal.media/files/b/0aa63da2/s5IRUO8nIPCaSaUUC9OEF.jpg
flux_dev,134,a misty forest trail at golden hour,1024,768,https://v3b.fal.media/files/b/0aa63d8f/OECYs4VcuUv4Diz-H5555.jpg
flux_dev,137,"a sunny street scene in tokyo, morning light",1024,768,https://v3b.fal.media/files/b/0aa63da2/Tr6wSbA0U9R5EWgCpPPaA.jpg
flux_dev,143,"a gourmet pizza on a wooden table, close up",1024,768,https://v3b.fal.media/files/b/0aa63da2/Dn8kzdc5R2YEgraXbopJx.jpg
flux_dev,140,a scenic coastal cliff at midday,1024,768,https://v3b.fal.media/files/b/0aa63d90/I8c8P5NqkE6rB0amwlwDU.jpg
flux_dev,149,a man taking a selfie at a festival,1024,768,https://v3b.fal.media/files/b/0aa63da3/4nL9f8WwN9OEt-XoxkEli.jpg
flux_dev,146,"people at a food festival, event photography",1024,768,https://v3b.fal.media/files/b/0aa63d90/AksyxGWxijkQztn0u-hQ7.jpg
flux_dev,152,"portrait of a middle-aged man in an office, soft bokeh background",1024,768,https://v3b.fal.media/files/b/0aa63d90/fOtos1u1Bl7GWBaBX3qdk.jpg
flux_dev,155,"group photo of a family at a birthday party, smartphone photo style",1024,768,https://v3b.fal.media/files/b/0aa63d90/Kx3pHDtmi_kOYVMavUe1X.jpg
flux_dev,158,"group photo of friends on a hiking trip, everyone smiling",1024,768,https://v3b.fal.media/files/b/0aa63d91/7FooMBHEw6bMlzaOnpKig.jpg
flux_dev,161,"group photo of a family on a hiking trip, smartphone photo style",1024,768,https://v3b.fal.media/files/b/0aa63d91/N1ofvjNrCdvZ2KFgb_DfO.jpg
