model,prompt_id,prompt,width,height,url
flux_dev,49,"a cozy interior photo, cafe",1024,768,https://v3b.fal.media/files/b/0aa63c34/B3ABZRhG0hlXVaQzDE629.jpg
flux_dev,25,"a poke bowl on a wooden table, restaurant food photography",1024,768,https://v3b.fal.media/files/b/0aa63c34/uXZvYo2_n96MVbCuoJxBg.jpg
flux_dev,37,"people at a street parade, event photography",1024,768,https://v3b.fal.media/files/b/0aa63c34/ufMjY4nQaFOzTFJZQLQ_O.jpg
flux_dev,13,candid photo of children at a birthday party,1024,768,https://v3b.fal.media/files/b/0aa63c34/5apnQkbcBskvTud_cCoi4.jpg
flux_dev,1,"a gourmet pizza on a wooden table, restaurant food photography",1024,768,https://v3b.fal.media/files/b/0aa63c34/Wze7cH2ZwUNmXyH6lZUql.jpg
flux_dev,61,"portrait of a middle-aged man in a park, casual clothing",1024,768,https://v3b.fal.media/files/b/0aa63c34/E1dOfQXx7hq3GrvKj1DGe.jpg
flux_dev,73,a spa in amsterdam,1024,768,https://v3b.fal.media/files/b/0aa63c47/W_qoXhjjQM6rphLlNFOZh.jpg
flux_dev,97,a misty waterfall at midday,1024,768,https://v3b.fal.media/files/b/0aa63c34/JkzDvjEsxkamF9COVoVjr.jpg
flux_dev,85,"a rustic interior photo, apartment",1024,768,https://v3b.fal.media/files/b/0aa63c34/aIl4Kz8z4XBmszakDXFJH.jpg
flux_dev,109,"a bright interior photo, living room",1024,768,https://v3b.fal.media/files/b/0aa63c34/KOrUHj60jaCf7mm9rZpPw.jpg
flux_dev,121,"portrait of a man in a suit in a market, casual clothing",1024,768,https://v3b.fal.media/files/b/0aa63c47/IGjAWLXoBHG6xdxoYs4Fn.jpg
flux_dev,133,"a crowd at a food festival, event photography",1024,768,https://v3b.fal.media/files/b/0aa63c35/jq0IrtMiCalkAFhAaf4-X.jpg
flux_dev,145,"a rustic interior photo, hotel room",1024,768,https://v3b.fal.media/files/b/0aa63c35/MnBHYdVGolHMumDXVsuye.jpg
flux_dev,157,"sushi platter on a marble counter, appetizing",1024,768,https://v3b.fal.media/files/b/0aa63c35/A7776sJzFT7ZWHEggpZ5E.jpg
flux_dev,169,"portrait of a man in a suit in a garden, soft bokeh background",1024,768,https://v3b.fal.media/files/b/0aa63c47/CiRrCpnzzcg4LdYiGZww4.jpg
flux_dev,205,"group photo of coworkers at a restaurant table, smartphone photo style",1024,768,https://v3b.fal.media/files/b/0aa63c35/QPO8s3OszRO1vg-WkHB1Y.jpg
flux_dev,181,"a modern interior photo, living room",1024,768,https://v3b.fal.media/files/b/0aa63c35/Hw5q1wpe-iPWbE59qX2kj.jpg
